7070,,,,,8594,,,,,,,,,6264,,,,,,,,,,,,2810,,,,,,,,,,2387,,,,,,,6422,,,,,,,,,,3548,,3697,,,,3161,,,,,,2118,,,,,,,,,8124,,,,,,,,,,,,,,8467,,,,7661,,,,,,,,,,,6827,,,,,,,,,1855,,,,,,,5980,,654,,,,,,,7698,,,,,,,,,6083,6768,,,,,,,,,,,,,,,,,,,,,,,,1074,,,3264,,,,,1329,,,,,,,,,,,,,,,,3335,,,,,,,2072,,7454,,,,,909,,,9945,4921,,,,,,,,,8829,,,,,,,,,,,,,,,,,,,,,8960,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1518,,,,,4712,,,,,6222,,,,,,,,,,,,9970,,,,,9305,,,,,,,40,,,,,,,7073,,3538,,,,,,,,,,,,,2516,,3330,5104,,,,,,,,,89,,,,,,,,,577,,3562,,,,,,999,,7170,,,,,,,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,6816,,,7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5545,,2141,,,,,3792,,,,440,,,8112,4365,,,,,,,,,,,,,,,,,,,4852,,2337,,,,,,,,859,,,728,,,,,,,,5644,,,,,,,,,,,,5392,4823,,,,,,,,,,,,,,
4774,1662,,,,,,,,4618,,,,5209,,,,,,,,,,,,,,,,,,,,,,,,,,6833,,,,,5715,,,,,,,,,,,,,,,2137,,,7164,8939,,,,9722,,,,,,,,,,8827,,,,,,,,,,,,,,,,,,,,,1745,,,,,,,,,,,,114,,,,,,,,,,,,541,,,,,,8972,,,,,,,,,,,,,,,4605,,,,,,,,,,1626,,,9959,,,,1458,,3761,,,,,,,,8987,88,,3154,6214,,,,,,,,6203,,,,2442,,9749,,,9800,,,9440,,,,,,,,,,,,,,,,,9992,,,8161,,,,,,,,,,,,2140,,3785,,,,,,,9686,,,,,,,,,,,,,,,,8588,,,,
,,,,,,,,,,,,,,,1693,,,,7830,,,,,,,,4330,,,,,,,9771,5293,,,,,,,,,,,,,,,,,,,,,,,,3105,,,,,,,,,,,,,,,,,,,7724,6248,9514,,,,,,,,,,,,,,,8856,,,,,,,,,,,,,,,,,5832,,,,,,,,213,,,,,,,5018,,,,,,,,,,,,,,,3853,,,,2597,,4435,,,,,,,,,,8951,,,,,,,,,9196,,,,,,3624,,,,,,,,,,,,,,,,,,,,4018,,,,,,,,,,,,,,,,7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,4943,,,,,8895,8957,,,,,,,8061,
,,,,,,,,,8431,,,,,,,,,,4104,,,,,,,,,,,,,,,,,7696,,,,,,,,,,,,,,,,,,,,,1822,,,,,,,,,,,,,,4984,,,,,3524,,9366,,,,,,,,,,,,5476,,,,,,,,,,,,,,,,,,,,,,,,,9428,3955,4877,,,,,,,,,,,,,8871,,,,4708,,,,,,,,,,,,,,832,,7801,,,,,,9907,,,,,,,,,,,,,,,,,,,4262,,,,,9121,,,,,,,,,,4377,,,,,,,,7931,,,,,,2221,,,,,,,,,,,,7228,,,,,,,,,,,,,,9480,,,,,,,9789,,,,,2258,,,,,,,,,,,,,
,,,,,,,,,,,,4436,,,,,,,,6498,,,,,,,,,6473,,,,,1882,4624,,5314,,,,,,,,,,,,,,,,5737,,,6632,,,,4645,,,,,,,,,,,,,,,,,,,,,,,,,,,7234,,,,,,,,,6684,,,,,,,,,,531,,,,,,4806,,,,,,6029,,6759,,9177,3839,,,,,,,,,9317,,,,,,1993,,,9244,,,,,,,,,,,,,,,,,,,7904,,2342,,,9125,,,,,,,,,,,,,,,,,,,,,,,,,,,9983,,,,7578,,,,,,,,9007,,3655,,,,,,,,,,,,,6453,,,,,,,,,,,,,,,,,,,,,,,,9580,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9221,8824,,,,,,,,,,,,,,,6462,,,,,,,,5660,,,,1798,,,,,,,,2609,,,,,,,,5216,,,,,,,,,7570,,,,495,,,,,,,,3632,876,,,9360,,,1736,,,,,,,,,,,,,,,,5233,,,4167,,,,,,,,3528,,,,,,,,,,,4822,,,,,,,,,2419,,,,,,,,7458,,
,,1623,,,,,,,,,,,,,,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8499,,,,,,,,,,,,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,,,,,7581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5857,,,,,96,,,1067,,4023,,,,,,,,,,5716,,,,,,,,,,,,,,2485,,,,,,,,9061,,,,,,,,,,,,,4154,,,,,,,,,,731,9394,,3282,,,3561,,,,,,,,,,,,,,,,,,,4118,,,,,,,,,,,,,,,,,,,,,,,4938,,,,,,
,,,,1733,,,,,,,,,,,,,,,,,,,8480,,,,,,7684,,,,,4644,,9189,,,,,,,,,,,,,,,,,,,,,,,,,,,,8921,,,,,,,,,,,,,,,,,,,,,,,,,,,2355,,,,,187,,6179,,8427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2562,,1550,998,8745,,1996,,,,,,,,,,,,6593,,,,,,,,,,,,,75,,,,,,,,,,3450,,,,,,,,,25,,,,,,,,,9479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852,,,,7727,,,,2189,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754,,,,,,,,,,,9385,,,,,,,,,,,,,,,,,,,,,,,,,7733,,,,,2922,,,,,,8947,,,,,7769,,7874,,,,6303,,,,,,5086,,,,,5987,,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,9121,,,,,,,974,,,,,,,,5167,,1170,,,,3168,,7197,,,,,,1910,,,,,,,,,,,,7286,,,3437,6461,,8215,9624,7707,,,,,6599,,,,,,,,,,,,,,3758,6118,,,,,,,3960,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8707,,,,,,,,,,,1283,,,,,,,,,,,,,,,,8594,,,,,,,,,,,,,,,,,,,,,,,,,,6591,,,,,,,,,,7471,,,2202,,,,,,,,,,,,2808,,,,7844,,,,4059,,,,5902,,,599,1562,,,,,,,,,,,,,,,,,,3436,,,,,,,7126,,,,,,,,,,,,,,4951,4037,,,6651,202,,,,,,,,,,,,,4534,,,,5088,,,7102,,,,,,,,,,7693,,,,,,,,,,,,6328,3624,,,,,,,,,,,,4934,,,,,,,,,,,3205,,,,,,,,,,9479,,,,,,,,,,,,,9742,,,,,,,,,,,2619,,,,,,,,,,,,4699,
